#row  column  size-1  circ-1  MedInt-1
11 21 155 0.909 241
11 22 162 0.895 238
11 23 127 0.929 238
11 24 152 0.869 241
11 25 123 0.948 237
11 26 135 0.934 234
11 27 150 0.912 246
11 28 177 0.964 241
11 29 142 0.945 240
11 30 163 0.942 240
11 31 150 0.936 246
11 32 136 0.941 242
11 33 106 0.932 241
11 34 139 0.925 244
11 35 106 0.993 243
11 36 149 0.965 242
11 37 135 0.96 244
11 38 151 0.953 244
11 39 136 0.93 244
11 40 132 0.913 243
11 41 131 0.969 246
11 42 86 0.901 241
11 43 136 0.905 245
11 44 153 0.907 243
11 45 160 0.948 241
11 46 153 0.931 241
11 47 168 0.937 240
11 48 198 0.91 239
12 1 195 0.917 245
12 2 185 0.919 243
12 3 154 0.961 238
12 4 171 0.931 243
12 5 81 0.971 236
12 6 131 0.931 241
12 7 154 0.903 249
12 8 155 0.919 244
12 9 147 0.952 245
12 10 160 0.948 247
12 11 153 0.907 248
12 12 0 0.0 0
12 13 161 0.931 246
12 14 124 0.972 240
12 15 140 0.968 242
12 16 135 0.923 241
12 17 154 0.937 240
12 18 161 0.944 238
12 19 139 0.961 240
12 20 164 0.948 241
12 21 125 0.94 237
12 22 146 0.972 238
12 23 142 0.945 238
12 24 118 0.953 236
12 25 163 0.942 242
12 26 160 0.948 247
12 27 112 0.904 239
12 28 67 0.912 242
12 29 154 0.881 247
12 30 134 0.927 240
12 31 149 0.94 241
12 32 126 0.948 240
12 33 157 0.898 240
12 34 111 0.935 242
12 35 155 0.943 244
12 36 82 0.983 240
12 37 145 0.976 243
12 38 152 0.924 241
12 39 130 0.935 241
12 40 132 0.938 245
12 41 149 0.906 244
12 42 131 0.931 244
12 43 130 0.951 244
12 44 136 0.967 244
12 45 148 0.959 240
12 46 162 0.927 243
12 47 171 0.978 235
12 48 192 0.911 240
13 1 194 0.942 245
13 2 193 0.907 245
13 3 157 0.955 244
13 4 165 0.978 249
13 5 172 0.927 246
13 6 66 0.934 241
13 7 138 0.918 245
13 8 142 0.92 244
13 9 63 0.844 238
13 10 138 0.954 248
13 11 141 0.938 241
13 12 176 0.926 243
13 13 154 0.937 246
13 14 137 0.937 240
13 15 158 0.961 245
13 16 135 0.944 240
13 17 146 0.946 241
13 18 161 0.954 239
13 19 159 0.943 241
13 20 171 0.922 237
13 21 117 0.891 237
13 22 114 0.904 237
13 23 164 0.938 244
13 24 157 0.98 245
13 25 154 0.937 240
13 26 113 0.923 237
13 27 141 0.938 241
13 28 133 0.92 241
13 29 153 0.921 242
13 30 62 0.892 237
13 31 132 0.938 241
13 32 148 0.9 246
13 33 146 0.946 245
13 34 136 0.967 247
13 35 148 0.959 247
13 36 101 0.946 241
13 37 85 0.983 239
13 38 135 0.934 238
13 39 127 0.94 242
13 40 141 0.904 243
13 41 142 0.945 244
13 42 141 0.938 243
13 43 136 0.941 241
13 44 156 0.925 242
13 45 141 0.938 244
13 46 145 0.939 239
13 47 181 0.93 240
13 48 196 0.974 240
14 1 196 0.922 244
14 2 197 0.935 242
14 3 109 0.946 241
14 4 170 0.949 248
14 5 157 0.955 250
14 6 164 0.906 248
14 7 153 0.955 247
14 8 150 0.946 243
14 9 117 0.956 239
14 10 165 0.921 242
14 11 101 0.917 235
14 12 114 0.92 237
14 13 171 0.954 243
14 14 155 0.967 240
14 15 156 0.925 245
14 16 160 0.948 238
14 17 148 0.959 240
14 18 165 0.921 235
14 19 111 0.964 229
14 20 158 0.961 240
14 21 167 0.955 243
14 22 166 0.895 241
14 23 152 0.949 247
14 24 94 0.966 235
14 25 155 0.943 243
14 26 180 0.947 242
14 27 107 0.929 241
14 28 150 0.936 249
14 29 166 0.959 246
14 30 152 0.949 240
14 31 123 0.874 241
14 32 149 0.965 243
14 33 134 0.916 243
14 34 150 0.936 250
14 35 66 0.988 242
14 36 133 0.946 248
14 37 146 0.946 247
14 38 149 0.93 241
14 39 57 0.839 239
14 40 140 0.932 244
14 41 144 0.876 244
14 42 137 0.947 247
14 43 112 0.915 240
14 44 144 0.996 241
14 45 0 0.0 0
14 46 156 0.902 239
14 47 184 0.945 238
14 48 197 0.935 238
15 1 188 0.913 249
15 2 201 0.945 240
15 3 0 0.0 0
15 4 166 0.95 244
15 5 161 0.931 245
15 6 138 0.918 240
15 7 154 0.972 249
15 8 89 0.902 245
15 9 172 0.936 243
15 10 137 0.974 244
15 11 153 0.931 245
15 12 161 0.954 246
15 13 177 0.931 244
15 14 145 0.873 242
15 15 141 0.975 247
15 16 159 0.967 244
15 17 157 0.955 239
15 18 149 0.965 239
15 19 138 0.954 238
15 20 152 0.959 242
15 21 169 0.967 241
15 22 170 0.949 246
15 23 61 0.951 234
15 24 141 0.904 236
15 25 48 0.866 228
15 26 172 0.927 249
15 27 178 0.915 247
15 28 98 0.918 242
15 29 0 0.0 0
15 30 0 0.0 0
15 31 131 0.906 241
15 32 130 0.924 242
15 33 127 0.893 242
15 34 79 0.982 241
15 35 121 0.948 245
15 36 145 0.965 243
15 37 0 0.0 0
15 38 148 0.959 242
15 39 148 0.924 242
15 40 143 0.926 239
15 41 124 0.944 243
15 42 95 0.976 239
15 43 94 0.953 239
15 44 157 0.921 246
15 45 139 0.915 243
15 46 165 0.944 243
15 47 185 0.95 244
15 48 204 0.909 236
16 1 191 0.898 242
16 2 177 0.88 242
16 3 182 0.935 242
16 4 181 0.952 243
16 5 159 0.943 241
16 6 168 0.937 243
16 7 82 0.934 242
16 8 149 0.906 248
16 9 139 0.901 241
16 10 150 0.912 242
16 11 148 0.959 241
16 12 147 0.942 238
16 13 153 0.965 241
16 14 124 0.907 240
16 15 143 0.962 244
16 16 160 0.939 239
16 17 167 0.932 242
16 18 145 0.905 243
16 19 147 0.978 237
16 20 99 0.86 237
16 21 117 0.928 242
16 22 153 0.931 243
16 23 156 0.902 240
16 24 164 0.915 241
16 25 168 0.928 240
16 26 161 0.954 245
16 27 132 0.913 245
16 28 152 0.959 240
16 29 163 0.9 247
16 30 146 0.936 243
16 31 106 0.92 237
16 32 133 0.909 237
16 33 160 0.939 245
16 34 159 0.91 243
16 35 76 0.944 240
16 36 118 0.964 248
16 37 154 0.913 242
16 38 77 0.957 240
16 39 138 0.954 240
16 40 134 0.927 240
16 41 142 0.982 241
16 42 108 0.938 243
16 43 136 0.967 245
16 44 134 0.953 240
16 45 139 0.961 239
16 46 147 0.978 236
16 47 188 0.956 240
16 48 192 0.911 241
17 1 204 0.947 242
17 2 202 0.929 241
17 3 119 0.906 241
17 4 149 0.965 242
17 5 140 0.883 243
17 6 150 0.88 245
17 7 160 0.948 244
17 8 167 0.965 244
17 9 0 0.0 0
17 10 153 0.931 243
17 11 146 0.936 242
17 12 163 0.966 243
17 13 159 0.919 236
17 14 142 0.91 242
17 15 164 0.884 237
17 16 159 0.967 238
17 17 164 0.938 241
17 18 148 0.9 238
17 19 157 0.955 239
17 20 160 0.973 241
17 21 152 0.949 240
17 22 156 0.949 241
17 23 159 0.943 240
17 24 160 0.939 238
17 25 163 0.9 236
17 26 166 0.95 242
17 27 171 0.9 243
17 28 162 0.936 243
17 29 151 0.953 246
17 30 155 0.943 245
17 31 145 0.965 240
17 32 112 0.915 236
17 33 141 0.913 241
17 34 147 0.978 240
17 35 165 0.921 243
17 36 159 0.967 244
17 37 76 0.944 244
17 38 136 0.941 242
17 39 164 0.938 244
17 40 133 0.946 241
17 41 154 0.913 243
17 42 75 0.932 240
17 43 157 0.921 243
17 44 162 0.927 240
17 45 153 0.907 239
17 46 162 0.96 239
17 47 180 0.947 236
17 48 197 0.906 232
18 1 198 0.931 241
18 2 194 0.892 238
18 3 180 0.97 242
18 4 185 0.95 243
18 5 182 0.958 245
18 6 98 0.918 240
18 7 40 0.691 234
18 8 157 0.945 244
18 9 140 0.942 245
18 10 158 0.961 243
18 11 94 0.922 242
18 12 76 0.911 234
18 13 149 0.965 238
18 14 164 0.906 245
18 15 146 0.911 240
18 16 151 0.918 239
18 17 151 0.953 235
18 18 147 0.942 237
18 19 151 0.942 242
18 20 163 0.942 244
18 21 166 0.917 241
18 22 157 0.955 240
18 23 161 0.954 239
18 24 145 0.905 240
18 25 146 0.921 236
18 26 39 0.858 228
18 27 140 0.932 246
18 28 146 0.921 240
18 29 148 0.924 247
18 30 99 0.958 240
18 31 0 0.0 0
18 32 161 0.954 244
18 33 151 0.928 239
18 34 116 0.977 244
18 35 155 0.909 244
18 36 159 0.967 241
18 37 163 0.956 244
18 38 141 0.949 241
18 39 125 0.903 241
18 40 159 0.967 241
18 41 140 0.995 238
18 42 129 0.917 241
18 43 145 0.965 240
18 44 158 0.927 240
18 45 166 0.895 240
18 46 172 0.936 241
18 47 167 0.955 232
18 48 193 0.899 237
19 1 205 0.922 243
19 2 192 0.924 240
19 3 181 0.952 242
19 4 154 0.937 238
19 5 169 0.943 244
19 6 125 0.952 243
19 7 156 0.892 252
19 8 154 0.903 243
19 9 150 0.972 239
19 10 154 0.937 243
19 11 171 0.922 244
19 12 146 0.936 242
19 13 151 0.978 239
19 14 149 0.93 243
19 15 171 0.931 240
19 16 149 0.906 239
19 17 157 0.931 240
19 18 146 0.972 242
19 19 164 0.915 238
19 20 122 0.968 244
19 21 147 0.904 245
19 22 133 0.92 237
19 23 150 0.961 239
19 24 160 0.925 244
19 25 157 0.955 238
19 26 153 0.941 243
19 27 148 0.959 241
19 28 131 0.969 244
19 29 155 0.919 240
19 30 137 0.947 240
19 31 150 0.972 241
19 32 133 0.946 240
19 33 161 0.931 247
19 34 121 0.921 242
19 35 143 0.952 242
19 36 146 0.911 244
19 37 114 0.932 239
19 38 134 0.953 238
19 39 157 0.955 240
19 40 152 0.901 242
19 41 144 0.969 242
19 42 0 0.0 0
19 43 163 0.91 241
19 44 137 0.937 236
19 45 166 0.895 241
19 46 138 0.929 236
19 47 194 0.942 236
19 48 202 0.9 237
20 1 199 0.936 244
20 2 182 0.958 241
20 3 151 0.918 239
20 4 143 0.941 239
20 5 107 0.941 241
20 6 158 0.937 242
20 7 109 0.946 240
20 8 153 0.955 242
20 9 163 0.942 242
20 10 164 0.972 243
20 11 126 0.932 238
20 12 147 0.918 238
20 13 138 0.981 244
20 14 140 0.968 236
20 15 141 0.913 239
20 16 115 0.928 237
20 17 163 0.932 243
20 18 0 0.0 0
20 19 155 0.943 240
20 20 137 0.912 240
20 21 127 0.929 234
20 22 136 0.967 236
20 23 148 0.959 240
20 24 149 0.897 239
20 25 96 0.929 231
20 26 51 0.981 233
20 27 133 0.946 236
20 28 149 0.93 239
20 29 148 0.948 243
20 30 142 0.945 247
20 31 117 0.956 240
20 32 111 0.976 240
20 33 130 0.99 237
20 34 93 0.844 234
20 35 144 0.933 237
20 36 150 0.972 237
20 37 153 0.955 243
20 38 119 0.973 237
20 39 114 0.932 239
20 40 148 0.924 239
20 41 144 0.933 241
20 42 159 0.967 240
20 43 0 0.0 0
20 44 162 0.927 239
20 45 173 0.932 240
20 46 177 0.931 238
20 47 191 0.949 235
20 48 198 0.94 239
21 1 185 0.95 245
21 2 181 0.9 243
21 3 147 0.942 243
21 4 165 0.944 243
21 5 183 0.94 249
21 6 103 0.947 237
21 7 167 0.932 244
21 8 112 0.955 241
21 9 126 0.906 242
21 10 144 0.958 240
21 11 98 0.901 244
21 12 114 0.904 237
21 13 177 0.922 243
21 14 158 0.873 246
21 15 87 0.912 238
21 16 162 0.927 244
21 17 161 0.931 240
21 18 0 0.0 0
21 19 162 0.936 242
21 20 163 0.932 240
21 21 152 0.959 241
21 22 133 0.92 246
21 23 134 0.953 237
21 24 151 0.918 240
21 25 147 0.894 239
21 26 163 0.932 245
21 27 158 0.961 245
21 28 94 0.999 237
21 29 0 0.0 0
21 30 143 0.952 242
21 31 132 0.938 240
21 32 140 0.932 238
21 33 94 0.922 238
21 34 157 0.955 240
21 35 130 0.99 238
21 36 140 0.942 239
21 37 113 0.964 238
21 38 141 0.938 240
21 39 164 0.938 244
21 40 105 0.941 236
21 41 135 0.923 241
21 42 163 0.932 242
21 43 0 0.0 0
21 44 156 0.915 237
21 45 132 0.965 237
21 46 182 0.958 235
21 47 194 0.942 234
21 48 180 0.916 222
22 1 185 0.898 242
22 2 189 0.918 239
22 3 139 0.961 243
22 4 149 0.965 239
22 5 150 0.912 243
22 6 145 0.939 242
22 7 128 0.947 252
22 8 150 0.912 241
22 9 131 0.958 238
22 10 160 0.948 241
22 11 145 0.882 240
22 12 151 0.918 242
22 13 45 0.907 231
22 14 160 0.925 244
22 15 159 0.943 239
22 16 151 0.942 239
22 17 124 0.944 239
22 18 161 0.868 240
22 19 152 0.915 240
22 20 163 0.966 243
22 21 160 0.939 244
22 22 155 0.943 244
22 23 149 0.94 236
22 24 144 0.933 232
22 25 133 0.946 235
22 26 148 0.996 239
22 27 133 0.946 237
22 28 173 0.91 244
22 29 133 0.973 243
22 30 161 0.931 239
22 31 97 0.853 239
22 32 165 0.921 241
22 33 141 0.938 239
22 34 169 0.943 240
22 35 19 0.944 210
22 36 163 0.942 242
22 37 145 0.915 236
22 38 155 0.943 238
22 39 135 0.934 239
22 40 152 0.924 239
22 41 116 0.977 236
22 42 121 0.977 237
22 43 140 0.968 237
22 44 140 0.932 235
22 45 133 0.984 238
22 46 164 0.938 235
22 47 185 0.919 234
22 48 198 0.931 242
23 1 191 0.928 242
23 2 160 0.948 244
23 3 153 0.941 241
23 4 161 0.979 239
23 5 147 0.952 250
23 6 108 0.921 244
23 7 136 0.941 244
23 8 97 0.983 238
23 9 149 0.965 247
23 10 94 0.909 241
23 11 154 0.937 246
23 12 121 0.885 242
23 13 175 0.912 247
23 14 58 0.868 238
