row,col,raw,plateid,query,array,normalized,score,supp
7,18,1660,1,1,132,516.895,0.036,-
7,19,1717,1,1,148,542.515,0.006,-
7,20,1649,1,1,148,515.585,-0.047,-
7,21,1644,1,1,164,502.096,-0.031,-
7,22,1647,1,1,164,496.377,-0.042,-
7,23,1673,1,1,180,506.259,0.05,-
7,24,1591,1,1,180,474.259,-0.012,-
7,25,1857,1,1,196,557.52,0.033,-
7,26,1811,1,1,196,535.445,-0.01,-
7,27,1716,1,1,212,506.599,-0.046,-
7,28,1763,1,1,212,523.495,-0.013,-
7,29,1953,1,1,228,NA,NA,-
7,30,1807,1,1,228,542.54,0.006,-
7,31,858,1,1,244,222.916,-0.012,-
7,32,926,1,1,244,251.639,0.044,-
7,33,1670,1,1,260,510.236,0.04,-
7,34,1674,1,1,260,520.688,0.061,-
7,35,1577,1,1,276,NA,NA,-
7,36,1634,1,1,276,537.419,0.015,-
7,37,1663,1,1,292,563.952,0.046,-
7,38,1588,1,1,292,550.126,0.019,-
7,39,1013,1,1,308,350.348,-0.002,-
7,40,1058,1,1,308,366.314,0.029,-
7,41,1523,1,1,324,530.562,0.088,-
7,42,1617,1,1,324,562.87,0.151,-
7,43,1453,1,1,340,507.632,-0.038,-
7,44,1381,1,1,340,482.835,-0.086,-
7,45,1346,1,1,356,NA,NA,-
7,46,1720,1,1,356,546.475,0.157,-
7,47,1775,1,1,372,NA,NA,-
7,48,1820,1,1,372,NA,NA,-
8,1,2438,1,1,4,NA,NA,-
8,2,1949,1,1,4,NA,NA,-
8,3,1782,1,1,20,472.598,-0.003,-
8,4,1515,1,1,20,427.818,-0.09,-
8,5,1615,1,1,36,481.057,-0.039,-
8,6,1684,1,1,36,519.513,0.036,-
8,7,828,1,1,52,230.527,0.002,-
8,8,855,1,1,52,246.269,0.032,-
8,9,1577,1,1,68,506.732,-0.06,-
8,10,1631,1,1,68,530.33,-0.014,-
8,11,1509,1,1,84,495.812,-0.051,-
8,12,1402,1,1,84,460.958,-0.119,-
8,13,1467,1,1,100,479.849,0.028,-
8,14,1280,1,1,100,406.708,-0.115,-
8,15,1580,1,1,116,511.672,0.037,-
8,16,1539,1,1,116,493.006,0.001,-
8,17,1550,1,1,132,490.576,-0.015,-
8,18,1604,1,1,132,508.296,0.02,-
8,19,1547,1,1,148,493.137,-0.091,-
8,20,1612,1,1,148,513.289,-0.052,-
8,21,1688,1,1,164,NA,NA,-
8,22,1643,1,1,164,505.456,-0.024,-
8,23,1614,1,1,180,495.868,0.03,-
8,24,1606,1,1,180,489.311,0.017,-
8,25,1694,1,1,196,511.628,-0.056,-
8,26,1788,1,1,196,537.69,-0.005,-
8,27,1701,1,1,212,510.472,-0.038,-
8,28,1773,1,1,212,535.541,0.011,-
8,29,1799,1,1,228,544.542,0.01,-
8,30,1782,1,1,228,540.554,0.002,-
8,31,804,1,1,244,204.111,-0.049,-
8,32,797,1,1,244,206.723,-0.044,-
8,33,1646,1,1,260,506.222,0.032,-
8,34,1643,1,1,260,514.149,0.048,-
8,35,1660,1,1,276,535.446,0.011,-
8,36,1618,1,1,276,536.346,0.013,-
8,37,1608,1,1,292,549.685,0.018,-
8,38,1621,1,1,292,567.903,0.054,-
8,39,855,1,1,308,295.545,-0.109,-
8,40,852,1,1,308,295.533,-0.109,-
8,41,1660,1,1,324,586.898,0.198,-
8,42,1557,1,1,324,549.017,0.124,-
8,43,1442,1,1,340,510.35,-0.032,-
8,44,1349,1,1,340,472.42,-0.107,-
8,45,1586,1,1,356,534.737,0.134,-
8,46,1689,1,1,356,530.066,0.125,-
8,47,1850,1,1,372,NA,NA,-
8,48,2096,1,1,372,NA,NA,-
9,1,2424,1,1,5,NA,NA,-
9,2,2009,1,1,5,NA,NA,-
9,3,1744,1,1,21,479.109,-0.045,-
9,4,1651,1,1,21,488.49,-0.026,-
9,5,1582,1,1,37,485.107,-0.027,-
9,6,1542,1,1,37,483.525,-0.03,-
9,7,1563,1,1,53,505.998,-0.001,-
9,8,1575,1,1,53,518.158,0.023,-
9,9,1471,1,1,69,482.441,-0.021,-
9,10,1457,1,1,69,481.908,-0.022,-
9,11,1575,1,1,85,534.326,0.012,-
9,12,1721,1,1,85,592.848,0.127,-
9,13,1437,1,1,101,483.214,-0.026,-
9,14,1606,1,1,101,537.429,0.08,-
9,15,1300,1,1,117,426.044,-0.122,-
9,16,1340,1,1,117,436.638,-0.101,-
9,17,1683,1,1,133,553.423,0.044,-
9,18,1605,1,1,133,524.425,-0.012,-
9,19,1744,1,1,149,NA,NA,-
9,20,1514,1,1,149,493.718,0.021,-
9,21,1620,1,1,165,520.376,-0.008,-
9,22,1549,1,1,165,487.745,-0.072,-
9,23,1615,1,1,181,511.698,-0.035,-
9,24,1647,1,1,181,519.18,-0.02,-
9,25,1784,1,1,197,558.657,0.044,-
9,26,1605,1,1,197,487.376,-0.095,-
9,27,1510,1,1,213,455.428,0.045,-
9,28,1451,1,1,213,433.214,0.002,-
9,29,1782,1,1,229,550.571,0.019,-
9,30,1768,1,1,229,546.627,0.011,-
9,31,1849,1,1,245,580.374,0.071,-
9,32,1797,1,1,245,564.778,0.04,-
9,33,1580,1,1,261,491.723,-0.029,-
9,34,1624,1,1,261,516.056,0.018,-
9,35,1625,1,1,277,532.049,0.014,-
9,36,1776,1,1,277,602.773,0.153,-
9,37,1220,1,1,293,416.802,-0.027,-
9,38,1246,1,1,293,NA,NA,-
9,39,1445,1,1,309,519.933,-0.034,-
9,40,1548,1,1,309,557.651,0.039,-
9,41,1528,1,1,325,550.05,0.036,-
9,42,1410,1,1,325,506.098,-0.05,-
9,43,1551,1,1,341,560.496,0.013,-
9,44,1562,1,1,341,557.85,0.008,-
9,45,1312,1,1,357,450.57,0.044,-
9,46,1220,1,1,357,390.777,-0.073,-
9,47,1746,1,1,373,NA,NA,-
9,48,2055,1,1,373,NA,NA,-
10,1,2326,1,1,5,NA,NA,-
10,2,1892,1,1,5,NA,NA,-
10,3,1773,1,1,21,498.707,-0.006,-
10,4,1552,1,1,21,465.292,-0.072,-
10,5,1612,1,1,37,503.454,0.009,-
10,6,1632,1,1,37,521.933,0.045,-
10,7,1518,1,1,53,496.046,-0.02,-
10,8,1394,1,1,53,458.401,-0.094,-
10,9,1514,1,1,69,505.065,0.023,-
10,10,1608,1,1,69,544.286,0.1,-
10,11,1541,1,1,85,529.674,0.003,-
10,12,1619,1,1,85,563.649,0.07,-
10,13,1633,1,1,101,563.876,0.131,-
10,14,1698,1,1,101,580,0.163,-
10,15,1382,1,1,117,464.386,-0.047,-
10,16,1235,1,1,117,407.336,-0.159,-
10,17,1791,1,1,133,601.876,0.139,-
10,18,1625,1,1,133,541.032,0.02,-
10,19,1477,1,1,149,492.674,0.018,-
10,20,1497,1,1,149,497.025,0.027,-
10,21,1732,1,1,165,570.757,0.091,-
10,22,1549,1,1,165,497.185,-0.053,-
10,23,1683,1,1,181,545.84,0.032,-
10,24,1676,1,1,181,538.785,0.018,-
10,25,1615,1,1,197,506.272,-0.059,-
10,26,1655,1,1,197,512.431,-0.046,-
10,27,1476,1,1,213,449.319,0.033,-
10,28,1459,1,1,213,440.964,0.017,-
10,29,1776,1,1,229,552.978,0.024,-
10,30,1744,1,1,229,541.36,0.001,-
10,31,1730,1,1,245,540.416,-0.008,-
10,32,1733,1,1,245,544.126,0,-
10,33,1643,1,1,261,515.257,0.017,-
10,34,1561,1,1,261,494.668,-0.023,-
10,35,1474,1,1,277,478.739,-0.09,-
10,36,1632,1,1,277,551.972,0.053,-
10,37,1214,1,1,293,415.201,-0.03,-
10,38,1181,1,1,293,415.701,-0.029,-
10,39,1487,1,1,309,537.793,0.001,-
10,40,1521,1,1,309,550.347,0.025,-
10,41,1533,1,1,325,554.661,0.045,-
10,42,1399,1,1,325,504.644,-0.053,-
10,43,1426,1,1,341,517.203,-0.072,-
10,44,1404,1,1,341,502.989,-0.1,-
10,45,1147,1,1,357,394.575,-0.065,-
10,46,1290,1,1,357,413.315,-0.028,-
10,47,1717,1,1,373,NA,NA,-
10,48,2149,1,1,373,NA,NA,-
11,1,2461,1,1,6,NA,NA,-
11,2,1948,1,1,6,NA,NA,-
11,3,1711,1,1,22,NA,NA,-
11,4,1658,1,1,22,511.369,0.081,-
11,5,1706,1,1,38,NA,NA,-
11,6,1540,1,1,38,496.342,0.005,-
11,7,1559,1,1,54,518.704,0.016,-
11,8,1459,1,1,54,489.823,-0.041,-
11,9,1428,1,1,70,481.155,-0.128,-
11,10,1771,1,1,70,612.919,0.13,-
11,11,1186,1,1,86,405.679,-0.077,-
11,12,1352,1,1,86,472.994,0.055,-
11,13,1213,1,1,102,417.856,-0.046,-
11,14,1067,1,1,102,NA,NA,-
11,15,854,1,1,118,281.059,0.058,-
11,16,765,1,1,118,245.77,-0.011,-
11,17,1592,1,1,134,542.047,-0.018,-
11,18,1603,1,1,134,545.057,-0.013,-
11,19,1549,1,1,150,531.43,0.076,-
11,20,1358,1,1,150,457.479,-0.069,-
11,21,1691,1,1,166,568.372,0.008,-
11,22,1639,1,1,166,541.478,-0.044,-
11,23,1491,1,1,182,487.091,-0.051,-
11,24,1554,1,1,182,504.831,-0.017,-
11,25,1092,1,1,198,NA,NA,-
11,26,1318,1,1,198,399.725,0.045,-
11,27,1208,1,1,214,359.283,-0.033,-
11,28,1252,1,1,214,372,-0.008,-
11,29,1693,1,1,230,529.024,-0.065,-
11,30,1776,1,1,230,558.032,-0.009,-
11,31,1620,1,1,246,504.894,0.029,-
11,32,1555,1,1,246,483.705,-0.013,-
11,33,1688,1,1,262,534.459,-0.045,-
11,34,1598,1,1,262,510.511,-0.092,-
11,35,1644,1,1,278,542.907,0.089,-
11,36,1534,1,1,278,519.079,0.042,-
11,37,1581,1,1,294,554.626,0.058,-
11,38,1579,1,1,294,568.703,0.086,-
11,39,1496,1,1,310,545.269,0.013,-
11,40,1412,1,1,310,514.104,-0.048,-
11,41,1422,1,1,326,517.936,0.015,-
11,42,1358,1,1,326,493.893,-0.032,-
11,43,1475,1,1,342,540.024,0.039,-
11,44,1403,1,1,342,506.286,-0.027,-
11,45,1483,1,1,358,513.707,0.071,-
11,46,1423,1,1,358,NA,NA,-
11,47,1719,1,1,374,NA,NA,-
11,48,2083,1,1,374,NA,NA,-
12,1,2646,1,1,6,NA,NA,-
12,2,1939,1,1,6,NA,NA,-
12,3,1746,1,1,22,510.55,0.08,-
12,4,1641,1,1,22,512.549,0.084,-
12,5,1523,1,1,38,486.841,-0.014,-
12,6,1529,1,1,38,495.905,0.004,-
