#row  column  size-1  size-2  circ-1  circ-2  MedInt-1  MedInt-2
10 11 153 187 0.931 0.951 244 240
10 12 0 0 0.0 0.0 0 0
10 13 202 155 0.929 0.933 245 241
10 14 0 162 0.0 0.96 0 242
10 15 42 45 0.906 0.97 228 231
10 16 184 173 0.968 0.965 245 241
10 17 0 146 0.0 0.946 0 245
10 18 193 191 0.937 0.919 245 244
10 19 173 128 0.942 0.91 243 238
10 20 0 173 0.0 0.932 0 244
10 21 0 33 0.0 0.965 0 226
10 22 116 119 0.936 0.973 241 239
10 23 126 108 0.921 0.98 240 235
10 24 177 65 0.931 0.92 241 223
11 1 181 88 0.952 0.968 239 239
11 2 184 183 0.914 0.94 247 247
11 3 195 208 0.896 0.927 248 246
11 4 200 0 0.899 0.0 246 0
11 5 196 177 0.922 0.954 244 247
11 6 189 57 0.889 0.985 245 236
11 7 192 105 0.954 0.953 246 241
11 8 194 89 0.912 0.979 244 237
11 9 198 219 0.91 0.926 242 243
11 10 0 0 0.0 0.0 0 0
11 11 204 215 0.947 0.917 240 243
11 12 200 0 0.891 0.0 242 0
11 13 193 186 0.916 0.933 242 241
11 14 127 189 0.94 0.939 238 243
11 15 0 138 0.0 0.954 0 240
11 16 199 167 0.936 0.955 241 243
11 17 140 136 0.968 0.967 241 247
11 18 157 180 0.955 0.947 241 241
11 19 78 127 0.969 0.903 235 241
11 20 135 185 0.923 0.919 241 242
11 21 97 113 0.951 0.952 237 242
11 22 136 149 0.93 0.94 243 243
11 23 177 156 0.954 0.915 243 238
11 24 155 165 0.967 0.968 238 236
12 1 155 99 0.967 0.887 239 239
12 2 184 189 0.936 0.939 246 247
12 3 198 204 0.952 0.889 248 244
12 4 169 0 0.911 0.0 246 0
12 5 205 174 0.934 0.971 246 243
12 6 0 0 0.0 0.0 0 0
12 7 105 108 0.953 0.883 242 239
12 8 0 0 0.0 0.0 0 0
12 9 0 0 0.0 0.0 0 0
12 10 203 185 0.942 0.919 242 244
12 11 208 191 0.935 0.949 242 244
12 12 185 172 0.95 0.96 241 239
12 13 0 193 0.0 0.937 0 243
12 14 74 0 0.92 0.0 237 0
12 15 42 106 0.951 0.962 234 238
12 16 62 154 0.928 0.913 237 239
12 17 0 187 0.0 0.938 0 241
12 18 0 0 0.0 0.0 0 0
12 19 189 185 0.918 0.932 245 245
12 20 171 10 0.931 -1.0 242 197
12 21 0 0 0.0 0.0 0 0
12 22 0 180 0.0 0.947 0 240
12 23 0 0 0.0 0.0 0 0
12 24 148 129 0.9 0.982 230 231
13 1 173 192 0.932 0.894 237 242
13 2 191 163 0.949 0.9 244 244
13 3 173 192 0.932 0.932 243 247
13 4 201 75 0.945 0.932 248 241
13 5 184 68 0.945 0.962 245 235
13 6 163 114 0.932 0.96 244 238
13 7 159 156 0.957 0.974 246 245
13 8 151 185 0.918 0.928 240 244
13 9 177 80 0.931 0.911 246 237
13 10 0 169 0.0 0.902 0 240
13 11 125 186 0.952 0.924 240 240
13 12 72 170 0.929 0.972 236 242
13 13 168 111 0.937 0.907 240 239
