#row  column  size-1  circ-1  MedInt-1
12 34 163 0.923 237
12 35 164 0.915 237
12 36 148 0.891 239
12 37 149 0.93 236
12 38 153 0.897 237
12 39 170 0.939 238
12 40 139 0.901 236
12 41 153 0.931 241
12 42 151 0.864 239
12 43 145 0.939 240
12 44 130 0.924 239
12 45 148 0.891 237
12 46 157 0.921 239
12 47 178 0.885 232
12 48 205 0.922 238
13 1 194 0.813 234
13 2 193 0.816 237
13 3 121 0.895 233
13 4 119 0.933 236
13 5 153 0.875 243
13 6 168 0.937 244
13 7 161 0.944 243
13 8 167 0.87 245
13 9 181 0.952 243
13 10 171 0.922 245
13 11 152 0.915 238
13 12 155 0.933 243
13 13 169 0.933 241
13 14 166 0.959 241
13 15 158 0.927 238
13 16 172 0.95 236
13 17 132 0.913 241
13 18 157 0.955 237
13 19 156 0.915 240
13 20 166 0.95 243
13 21 118 0.898 232
13 22 116 0.909 233
13 23 161 0.868 243
13 24 153 0.941 240
13 25 165 0.88 241
13 26 174 0.938 239
13 27 171 0.922 238
13 28 170 0.949 237
13 29 173 0.901 237
13 30 172 0.936 234
13 31 182 0.958 235
13 32 177 0.954 237
13 33 150 0.912 230
13 34 157 0.955 232
13 35 157 0.921 234
13 36 163 0.91 238
13 37 133 0.946 234
13 38 143 0.962 235
13 39 153 0.845 238
13 40 141 0.938 237
13 41 146 0.946 236
13 42 144 0.923 240
13 43 128 0.875 231
13 44 126 0.896 235
13 45 139 0.877 235
13 46 170 0.916 240
13 47 183 0.909 235
13 48 221 0.88 238
14 1 273 0.919 236
14 2 219 0.887 236
14 3 140 0.907 236
14 4 122 0.892 235
14 5 181 0.93 239
14 6 159 0.828 239
14 7 174 0.938 244
14 8 164 0.938 245
14 9 159 0.957 245
14 10 163 0.91 240
14 11 163 0.956 241
14 12 158 0.913 244
14 13 170 0.886 246
14 14 164 0.915 242
14 15 141 0.949 229
14 16 147 0.928 235
14 17 160 0.948 241
14 18 120 0.941 239
14 19 138 0.894 240
14 20 159 0.943 241
14 21 116 0.883 233
14 22 121 0.895 235
14 23 158 0.927 238
14 24 180 0.925 243
14 25 176 0.926 241
14 26 176 0.926 238
14 27 160 0.902 238
14 28 166 0.926 237
14 29 164 0.938 236
14 30 171 0.9 234
14 31 181 0.891 236
14 32 186 0.924 231
14 33 135 0.908 225
14 34 134 0.882 231
14 35 168 0.928 238
14 36 152 0.934 235
14 37 125 0.864 233
14 38 141 0.949 233
14 39 143 0.926 235
14 40 140 0.907 237
14 41 138 0.944 237
14 42 132 0.965 238
14 43 125 0.889 238
14 44 92 0.85 229
14 45 149 0.897 240
14 46 161 0.921 233
14 47 176 0.875 236
14 48 210 0.888 238
15 1 267 0.934 239
15 2 217 0.836 240
15 3 199 0.923 243
15 4 187 0.908 244
15 5 177 0.88 244
15 6 172 0.936 241
15 7 174 0.947 239
15 8 164 0.962 242
15 9 141 0.938 240
15 10 162 0.895 243
15 11 154 0.937 240
15 12 150 0.922 242
15 13 163 0.932 244
15 14 167 0.922 244
15 15 156 0.892 244
15 16 166 0.95 244
15 17 161 0.944 244
15 18 154 0.927 243
15 19 184 0.945 238
15 20 189 0.918 239
15 21 159 0.933 243
15 22 152 0.915 242
15 23 156 0.902 235
15 24 148 0.948 232
15 25 44 0.996 223
15 26 59 0.936 221
15 27 169 0.933 240
15 28 162 0.917 236
15 29 169 0.933 237
15 30 168 0.906 238
15 31 174 0.848 236
15 32 178 0.969 236
15 33 171 0.891 234
15 34 167 0.891 236
15 35 160 0.884 237
15 36 156 0.862 238
15 37 140 0.932 233
15 38 143 0.902 237
15 39 147 0.918 241
15 40 142 0.91 238
15 41 126 0.959 238
15 42 130 0.899 237
15 43 152 0.915 237
15 44 148 0.891 236
15 45 148 0.938 240
15 46 159 0.933 236
15 47 143 0.822 236
15 48 216 0.921 237
16 1 277 0.914 238
16 2 202 0.92 235
16 3 154 0.83 238
16 4 187 0.929 241
16 5 190 0.944 244
16 6 193 0.937 239
16 7 166 0.926 243
16 8 167 0.932 242
16 9 173 0.91 245
16 10 158 0.904 243
16 11 162 0.904 243
16 12 157 0.907 242
16 13 153 0.907 242
16 14 164 0.915 241
16 15 172 0.936 245
16 16 156 0.892 239
16 17 147 0.952 244
16 18 145 0.939 241
16 19 181 0.921 236
16 20 194 0.912 240
16 21 150 0.88 242
16 22 147 0.942 242
16 23 156 0.949 231
16 24 137 0.897 233
16 25 52 0.982 225
16 26 45 0.812 218
16 27 166 0.917 238
16 28 158 0.927 234
16 29 174 0.938 238
16 30 168 0.928 239
16 31 172 0.927 236
16 32 180 0.925 235
16 33 172 0.96 236
16 34 176 0.949 234
16 35 164 0.938 239
16 36 156 0.925 237
16 37 140 0.932 236
16 38 129 0.907 232
16 39 152 0.924 237
16 40 132 0.903 235
16 41 139 0.925 234
16 42 129 0.982 233
16 43 161 0.898 237
16 44 141 0.913 239
16 45 135 0.884 235
16 46 154 0.937 237
16 47 143 0.79 235
16 48 230 0.905 233
17 1 255 0.835 239
17 2 196 0.873 238
17 3 184 0.894 235
17 4 176 0.926 241
17 5 173 0.932 246
17 6 166 0.917 242
17 7 181 0.952 242
17 8 190 0.923 240
17 9 85 0.878 231
17 10 66 0.988 231
17 11 170 0.926 243
17 12 152 0.959 241
17 13 160 0.948 240
17 14 142 0.945 234
17 15 140 0.907 239
17 16 164 0.938 243
17 17 67 0.933 230
17 18 89 0.946 235
17 19 155 0.887 245
17 20 146 0.911 239
17 21 108 0.883 235
17 22 116 0.909 236
17 23 147 0.894 238
17 24 144 0.933 241
